session_id	acq_time
ses-01	2025-01-10T07:06:29.000
ses-02	2025-01-17T06:54:41.000
ses-03	2025-01-24T06:28:11.000
ses-04	2025-02-06T06:21:52.000
ses-05	2025-02-07T06:43:54.000
ses-06	2025-02-14T06:43:06.000
ses-07	2025-02-21T06:33:44.000
ses-08	2025-02-28T06:15:33.000
ses-09	2025-03-07T07:33:14.000
ses-10	2025-03-15T08:40:16.000
ses-11	2025-03-22T07:01:47.000
ses-12	2025-03-28T07:50:23.000
ses-13	2025-04-05T07:08:18.000
ses-14	2025-04-16T07:35:51.000
ses-15	2025-04-18T07:36:56.000
ses-16	2025-04-25T06:06:36.000
ses-17	2025-05-02T07:15:53.000
ses-18	2025-05-09T06:12:06.000
ses-19	2025-05-24T06:14:25.000
ses-20	2025-05-30T06:10:48.000
ses-21	2025-06-06T06:19:26.000
ses-22	2025-06-13T06:27:06.000
ses-23	2025-06-18T06:20:36.000
ses-24	2025-06-26T06:26:43.000
ses-25	2025-07-02T06:22:05.000
ses-26	2025-07-09T06:21:49.000
ses-27	2025-07-18T06:33:16.000
ses-28	2025-07-30T06:18:10.000
ses-29	2025-08-08T06:04:08.000
ses-30	2025-08-15T06:09:51.000
ses-31	2025-08-20T05:56:02.000
ses-32	2025-08-27T06:12:27.000
ses-33	2025-09-03T05:53:22.000
ses-34	2025-09-10T06:10:01.000
ses-35	2025-09-17T05:59:53.000
ses-36	2025-09-25T05:43:32.000
ses-37	2025-10-04T05:25:22.000
ses-38	2025-10-08T06:11:31.000
ses-39	2025-10-15T06:11:46.000
ses-40	2025-10-22T06:09:34.000
ses-41	2025-10-30T06:12:43.000
ses-42	2025-11-05T06:05:24.000
ses-43	2025-11-12T06:02:43.000
ses-44	2025-11-19T06:10:57.000
